Date, Open, High, Low, Close
03/07/25, 1.512, 1.549, 1.512, 1.524
03/06/25, 1.446, 1.555, 1.446, 1.512
03/05/25, 1.425, 1.453, 1.425, 1.446
03/04/25, 1.410, 1.438, 1.399, 1.425
03/03/25, 1.376, 1.422, 1.376, 1.410
02/28/25, 1.396, 1.396, 1.367, 1.376
02/27/25, 1.367, 1.410, 1.367, 1.396
02/26/25, 1.376, 1.378, 1.322, 1.367
02/25/25, 1.427, 1.427, 1.362, 1.376
02/23/25, 1.427, 1.427, 1.427, 1.427
02/21/25, 1.450, 1.458, 1.402, 1.427
02/20/25, 1.440, 1.452, 1.428, 1.450
02/19/25, 1.436, 1.446, 1.419, 1.440
02/18/25, 1.393, 1.437, 1.393, 1.436
02/17/25, 1.356, 1.393, 1.356, 1.393
02/14/25, 1.350, 1.361, 1.343, 1.356
02/13/25, 1.347, 1.373, 1.345, 1.350
02/12/25, 1.316, 1.347, 1.316, 1.347
02/10/25, 1.303, 1.326, 1.300, 1.316
02/07/25, 1.267, 1.307, 1.267, 1.303
02/06/25, 1.284, 1.286, 1.264, 1.267
02/05/25, 1.276, 1.303, 1.276, 1.284
02/04/25, 1.249, 1.282, 1.249, 1.276
02/03/25, 1.242, 1.266, 1.220, 1.249
01/31/25, 1.216, 1.248, 1.216, 1.242
01/30/25, 1.196, 1.225, 1.196, 1.216
01/29/25, 1.197, 1.203, 1.185, 1.196
01/28/25, 1.220, 1.220, 1.195, 1.197
01/27/25, 1.235, 1.238, 1.208, 1.220
01/24/25, 1.210, 1.239, 1.210, 1.235
01/23/25, 1.198, 1.215, 1.192, 1.210
01/22/25, 1.190, 1.209, 1.187, 1.198
01/21/25, 1.197, 1.197, 1.177, 1.190
01/20/25, 1.207, 1.212, 1.194, 1.197
01/17/25, 1.210, 1.210, 1.176, 1.207
01/16/25, 1.256, 1.256, 1.203, 1.210
01/15/25, 1.244, 1.258, 1.233, 1.256
01/14/25, 1.212, 1.256, 1.212, 1.244
01/12/25, 1.212, 1.212, 1.212, 1.212
01/10/25, 1.177, 1.214, 1.177, 1.212
01/09/25, 1.180, 1.195, 1.173, 1.177
01/08/25, 1.129, 1.185, 1.129, 1.180
01/07/25, 1.129, 1.144, 1.123, 1.129
01/06/25, 1.093, 1.135, 1.093, 1.129
01/02/25, 1.093, 1.093, 1.093, 1.093
01/01/25, 1.093, 1.093, 1.093, 1.093
12/31/24, 1.093, 1.093, 1.093, 1.093
12/30/24, 1.104, 1.121, 1.086, 1.093
12/27/24, 1.088, 1.113, 1.083, 1.104
12/26/24, 1.072, 1.099, 1.072, 1.088
12/25/24, 1.071, 1.076, 1.060, 1.072
12/24/24, 1.069, 1.073, 1.062, 1.071
12/23/24, 1.055, 1.069, 1.045, 1.069
12/20/24, 1.086, 1.086, 1.037, 1.055
12/19/24, 1.067, 1.102, 1.061, 1.086
12/18/24, 1.077, 1.080, 1.065, 1.067
12/17/24, 1.072, 1.087, 1.070, 1.077
12/16/24, 1.040, 1.074, 1.040, 1.072
